Conference,Team Name,Net Rating Rank,Seed,Region,Post-Season Tournament,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
Missouri Valley Conference (MVC),Murray State,161,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.3,174,107.1,234
Horizon League,Wright State,161,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,117.4,12,112.9,337
Big West Conference (BWC),Long Beach State,163,15,West,March Madness,106.2,155,105.2,186
Big South Conference,UNC Asheville,163,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.1,117,106.7,221
Atlantic Sun Conference (ASUN),Lipscomb,165,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,114.3,24,109.8,293
Metro Atlantic Athletic Conference (MAAC),Fairfield,166,7,CBI,CBI,109,103,103.3,128
Big West Conference (BWC),Hawaii,166,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.2,178,101.9,94
Metro Atlantic Athletic Conference (MAAC),Quinnipiac,166,6,CBI,CBI,106.7,144,100.1,58
Coastal Athletic Association (CAA),Delaware,169,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.9,142,102.9,119
Coastal Athletic Association (CAA),Stony Brook,169,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.1,157,105.9,205
Western Athletic Conference (WAC),Utah Valley,169,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.8,310,99.4,38
Mid-American Conference (MAC),Kent State,172,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.2,136,104.4,165
American East Conference (AmEast),Bryant,173,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.4,291,98.7,34
Big West Conference (BWC),UC Davis,174,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.2,225,100.9,75
Southern Conference (SoCon),East Tennessee State,175,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103,232,103.5,138
